abacus,,,,,,,, trust,,
abandon,,,, fear,, sadness,,, negative,
broke,,,, fear,, sadness,,, negative,
broken, anger,,, fear,, sadness,,, negative,
brothel,,, disgust,,,,,, negative,
brother,,,,,,,, trust,, positive
brotherhood,,,,,,,, trust,, positive
brotherly,, anticip,,, joy,,, trust,, positive
bruise,, anticip,,,,,,, negative,
brunt, anger,,,,,,,, negative,
brutal, anger,,, fear,,,,, negative,
brutality, anger,,, fear,,,,, negative,
brute, anger,,, fear,, sadness,,, negative,
buck,,,, fear,,, surprise,, negative, positive
buddy,, anticip,,, joy,,, trust,, positive
budget,,,,,,,, trust,,
buffet, anger,,,,,,,, negative,
bug,,, disgust, fear,,,,, negative,
bugaboo, anger,,, fear,, sadness,,, negative,
bugle,, anticip,,,,,,,,
build,,,,,,,,,, positive
building,,,,,,,,,, positive
bulbous,,,,,,,,, negative,
bulldog,,,,,,,,,, positive
bulletproof,,,,,,,,,, positive
bully, anger,,, fear,,,,, negative,
bum,,, disgust,,, sadness,,, negative,
bummer, anger,, disgust,,,,,, negative,
bunker,,,, fear,,,,,,
buoy,,,,,,,,,, positive
burdensome,,,, fear,, sadness,,, negative,
bureaucracy,,,,,,,, trust, negative,
bureaucrat,,, disgust,,,,,, negative,
burglar,,, disgust, fear,,,,, negative,
burglary,,,,,,,,, negative,
burial, anger,,, fear,, sadness,,, negative,
buried,,,, fear,, sadness,,, negative,
burke, anger,, disgust, fear,, sadness,,, negative,
burlesque,,,,,,, surprise,,,
burn,,,,,,,,,,
burnt,,, disgust,,,,,, negative,
bursary,,,,,,,, trust,,
bury,,,,,, sadness,,,,
buss,,,,, joy,,,,, positive
busted, anger,,, fear,,,,, negative,
butcher, anger,, disgust, fear,,,,, negative,
butler,,,,,,,, trust,, positive
butt,,,,,,,,, negative,
buttery,,,,,,,,,, positive
buxom,,,,,,,,,, positive
buzz,, anticip,, fear,,,,,, positive
buzzed,,,,,,,,, negative,
bye,, anticip,,,,,,,,
bylaw,,,,,,,, trust,,
cab,,,,,,,,,, positive
cabal,,,, fear,,,,, negative,
cabinet,,,,,,,, trust,, positive
cable,,,,,,, surprise,,,
cacophony, anger,, disgust,,,,,, negative,
cad, anger,, disgust,,,,,, negative,
cadaver,,, disgust, fear,, sadness, surprise,, negative,
cafe,,,,,,,,,, positive
cage,,,,,, sadness,,, negative,
calamity,,,,,, sadness,,,,
calculating,,,,,,,,, negative,
calculation,, anticip,,,,,,,,
calculator,,,,,,,, trust,, positive
calf,,,,, joy,,, trust,, positive
callous, anger,, disgust,,,,,, negative,
calls,, anticip,,,,,, trust, negative,
calm,,,,,,,,,, positive
camouflage,,,,,,, surprise,,,
camouflaged,,,,,,, surprise,,,
campaigning, anger,,, fear,,,,, negative,
canary,,,,,,,,,, positive
cancel,,,,,, sadness,,, negative,
cancer, anger,, disgust, fear,, sadness,,, negative,
candid,, anticip,,, joy,, surprise, trust,, positive
candidate,,,,,,,,,, positive
candied,,,,,,,,,, positive
cane, anger,,, fear,,,,,,
canker, anger,, disgust,,,,,, negative,
cannibal,,, disgust, fear,,,,, negative,
cannibalism,,, disgust,,,,,, negative,
cannon, anger,,, fear,,,,, negative,
canons,,,,,,,, trust,,
cap,, anticip,,,,,, trust,,
capitalist,,,,,,,,,, positive
captain,,,,,,,,,, positive
captivate,, anticip,,, joy,, surprise, trust,, positive
captivating,,,,,,,,,, positive
captive,,,, fear,, sadness,,, negative,
captivity,,,,,, sadness,,, negative,
captor,,,, fear,,,,, negative,
capture,,,,,,,,, negative,
carcass,,, disgust, fear,, sadness,,, negative,
carcinoma,,,, fear,, sadness,,, negative,
cardiomyopathy,,,, fear,, sadness,,, negative,
career,, anticip,,,,,,,, positive
careful,,,,,,,,,, positive
carefully,,,,,,,,,, positive
carelessness, anger,, disgust,,,,,, negative,
caress,,,,,,,,,, positive
caretaker,,,,,,,, trust,, positive
caricature,,,,,,,,, negative,
caries,,, disgust,,,,,, negative,
carnage, anger,, disgust, fear,, sadness, surprise,, negative,
carnal,,,,,,,,, negative,
carnivorous,,,, fear,,,,, negative,
carol,,,,, joy,,, trust,, positive
cartel,,,,,,,,, negative,
cartridge,,,, fear,,,,,,
cascade,,,,,,,,,, positive
case,,,, fear,, sadness,,, negative,
cash, anger, anticip,, fear, joy,,, trust,, positive
cashier,,,,,,,, trust,,
casket,,,, fear,, sadness,,, negative,
caste,,,,,,,,, negative,
casualty, anger,,, fear,, sadness,,, negative,
cataract,, anticip,, fear,, sadness,,, negative,
catastrophe, anger,, disgust, fear,, sadness, surprise,, negative,
catch,,,,,,, surprise,,,
catechism,,, disgust,,,,,,,
categorical,,,,,,,,,, positive
cater,,,,,,,,,, positive
cathartic,,,,,,,,,, positive
cathedral,,,,, joy,,, trust,, positive
catheter,,,,,,,,, negative,
caution, anger, anticip,, fear,,,,, negative,
cautionary,,,, fear,,,,,,
cautious,, anticip,, fear,,,, trust,, positive
cautiously,,,, fear,,,,,, positive
cede,,,,,,,,, negative,
celebrated,, anticip,,, joy,,,,, positive
celebrating,, anticip,,, joy,,,,, positive
celebration,, anticip,,, joy,, surprise, trust,, positive
celebrity, anger, anticip, disgust,, joy,, surprise, trust, negative, positive
celestial,, anticip,,, joy,,,,, positive
cement,, anticip,,,,,, trust,,
cemetery,,,, fear,, sadness,,, negative,
censor, anger,, disgust, fear,,,, trust, negative,
censure,,,,,,,,, negative,
center,,,,,,,, trust,, positive
centurion,,,,,,,,,, positive
cerebral,,,,,,,,,, positive
ceremony,,,,, joy,, surprise,,, positive
certainty,,,,,,,,,, positive
certify,,,,,,,, trust,,
cess,,, disgust,,,,,, negative,
cessation,,,,,,,,, negative,
chaff, anger,,, fear,,,,, negative,
chafing,,,,,,,,, negative,
chagrin,,, disgust,,, sadness,,, negative,
chairman,,,,,,,, trust,, positive
chairwoman,,,,,,,, trust,, positive
challenge, anger,,, fear,,,,, negative,
champion,, anticip,,, joy,,, trust,, positive
chance,,,,,,, surprise,,,
chancellor,,,,,,,, trust,,
change,,,, fear,,,,,,
changeable,, anticip,,,,, surprise,,,
chant, anger, anticip,,, joy,, surprise,,, positive
chaos, anger,,, fear,, sadness,,, negative,
chaotic, anger,,,,,,,, negative,
chaplain,,,,,,,, trust,,
charade,,,,,,,,, negative,
chargeable,,,, fear,, sadness,,, negative,
charger,,,,,,,,,, positive
charitable,, anticip,,, joy,,, trust,, positive
charity,,,,, joy,,,,, positive
charm,,,,,,,,,, positive
charmed,,,,, joy,,,, negative, positive
charming,,,,,,,,,, positive
chart,,,,,,,, trust,,
chase,,,,,,,,, negative,
chasm,,,, fear,,,,,,
chastisement,,,,,,,,, negative,
chastity,, anticip,,,,,, trust,, positive
chattering,,,,,,,,,, positive
chatty,,,,,,,,, negative,
cheap,,,,,,,,, negative,
cheat, anger,, disgust,,,,,, negative,
checklist,,,,,,,, trust,, positive
cheer,, anticip,,, joy,, surprise, trust,, positive
cheerful,,,,, joy,, surprise,,, positive
cheerfulness,, anticip,,, joy,,, trust,, positive
cheering,,,,, joy,,,,, positive
cheery,, anticip,,, joy,,,,, positive
cheesecake,,,,,,,,, negative,
chemist,,,,,,,, trust,, positive
cherish,, anticip,,, joy,, surprise, trust,, positive
cherry,,,,,,,,,, positive
chicane,, anticip,,,,, surprise, trust, negative,
chicken,,,, fear,,,,,,
chieftain,,,,,,,,,, positive
child,, anticip,,, joy,,,,, positive
childhood,,,,, joy,,,,, positive
childish,,,,,,,,, negative,
chilly,,,,,,,,, negative,
chimera,,,, fear,,, surprise,,,
chirp,,,,, joy,,,,, positive
chisel,,,,,,,,,, positive
chivalry,,,,,,,,,, positive
chloroform,,,,,,,,, negative,
chocolate,, anticip,,, joy,,, trust,, positive
choice,,,,,,,,,, positive
choir,,,,, joy,,, trust,, positive
choke, anger,,,,, sadness,,, negative,
cholera,,, disgust, fear,, sadness,,, negative,
chop,,,,,,,,, negative,
choral,,,,, joy,,,,, positive
chore,,,,,,,,, negative,
chorus,,,,,,,,,, positive
chosen,,,,,,,,,, positive
chowder,,,,,,,,,, positive
chronic,,,,,, sadness,,, negative,
chronicle,,,,,,,, trust,, positive
chuckle,, anticip,,, joy,, surprise, trust,, positive
church,, anticip,,, joy,,, trust,, positive
cider,,,,,,,,,, positive
cigarette,,,,,,,,, negative,
circumcision,,,,,,,,,, positive
circumvention,,,,,,,,, negative, positive
citizen,,,,,,,,,, positive
civil,,,,,,,,,, positive
civility,,,,,,,,,, positive
civilization,,,,,,,, trust,, positive
civilized,,,,, joy,,, trust,, positive
claimant, anger,, disgust,,,,,,,
clairvoyant,,,,,,,,,, positive
clamor, anger, anticip, disgust,,,, surprise,, negative,
clan,,,,,,,, trust,,
clap,, anticip,,, joy,,, trust,, positive
clarify,,,,,,,,,, positive
clash, anger,,,,,,,, negative,
clashing, anger,,, fear,,,,, negative,
classic,,,,,,,,,, positive
classical,,,,,,,,,, positive
classics,,,,, joy,,,,, positive
classify,,,,,,,,,, positive
claw, anger,,, fear,,,,, negative,
clean,,,,, joy,,, trust,, positive
cleaning,,,,,,,,,, positive
cleanliness,,,,,,,,,, positive
cleanly,,,,,,,,,, positive
cleanse,,,,,,,,,, positive
cleansing,,,,,,,,,, positive
clearance,,,,,,,, trust,, positive
clearness,,,,,,,,,, positive
cleave,,,, fear,,,,,,
clerical,,,,,,,, trust,, positive
clever,,,,,,,,,, positive
cleverness,,,,,,,,,, positive
cliff,,,, fear,,,,,,
climax,, anticip,,, joy,, surprise, trust,, positive
clock,, anticip,,,,,,,,
cloister,,,,,,,,, negative,
closeness,,,,, joy,,, trust,, positive
closure,, anticip,,, joy, sadness,,,, positive
clothe,,,,,,,,,, positive
clouded,,,,,, sadness,,, negative,
cloudiness,,,, fear,,,,, negative,
cloudy,,,,,, sadness,,,,
clown,, anticip,,, joy,, surprise,,, positive
clue,, anticip,,,,,,,,
clump,,,,,,,,, negative,
clumsy,,, disgust,,,,,, negative,
coach,,,,,,,, trust,,
coalesce,,,,,,,, trust,,
coalition,,,,,,,,,, positive
coast,,,,,,,,,, positive
coax,,,,,,,, trust,,
cobra,,,, fear,,,,,,
cocaine,,,,,, sadness,,, negative,
coerce, anger,, disgust, fear,,,,, negative,
coercion, anger,, disgust, fear,, sadness,,, negative,
coexist,,,,,,,, trust,, positive
coexisting,,,,,,,, trust,,
coffin,,,, fear,, sadness,,, negative,
cogent,,,,,,,, trust,, positive
cognitive,,,,,,,,,, positive
coherence,,,,,,,,,, positive
coherent,,,,,,,,,, positive
cohesion,,,,,,,, trust,,
cohesive,,,,,,,, trust,, positive
coincidence,,,,,,, surprise,,,
cold,,,,,,,,, negative,
coldly,,,,,,,,, negative,
coldness, anger,, disgust, fear,, sadness,,, negative,
colic,,,,,,,,, negative,
collaborator,,,,,,,, trust,,
collapse,,, disgust, fear,, sadness,,, negative,
collateral,,,,,,,, trust,,
collectively,,,,,,,, trust,, positive
collision, anger,,,,,,,, negative,
collusion, anger,, disgust, fear,, sadness,,, negative,
colonel,,,,,,,, trust,, positive
colossal,,,,,,,,,, positive
coma,,,, fear,, sadness,,, negative,
comatose,,,, fear,, sadness,,, negative,
combat, anger,,, fear,,,,, negative,
combatant, anger,,, fear,,,,, negative,
combative, anger,,, fear,,,,, negative,
comfort,, anticip,,, joy,,, trust,, positive
coming,, anticip,,,,,,,,
commandant,,,,,,,, trust,, positive
commanding,,,,,,,, trust,, positive
commemorate,, anticip,,, joy, sadness,,,, positive
commemoration,, anticip,,, joy,,,,, positive
commemorative,, anticip,,,,,,,, positive
commend,,,,,,,,,, positive
commendable,,,,, joy,,, trust,, positive
commentator,,,,,,,,,, positive
commerce,,,,,,,, trust,,
commission,,,,,,,, trust,,
committal,,,,,, sadness,,, negative,
committed,,,,,,,, trust,, positive
committee,,,,,,,, trust,,
commodore,,,,,,,, trust,, positive
commonplace,, anticip,,,,,, trust,,
commonwealth,,,,,,,, trust,, positive
commotion, anger,,,,,,,, negative,
communicate,,,,,,,, trust,, positive
communication,,,,,,,, trust,,
communicative,,,,,,,,,, positive
communion,,,,, joy,,, trust,, positive
communism, anger,,, fear,, sadness,,, negative,
communist,,,,,,,,, negative,
community,,,,,,,,,, positive
commutation,,,,,,,,,, positive
commute,,,,,,,,,, positive
compact,,,,,,,, trust,,
companion,,,,, joy,,, trust,, positive
compass,,,,,,,, trust,,
compassion,,,, fear,,,,,, positive
compassionate,,,,,,,,,, positive
compatibility,,,,,,,,,, positive
compatible,,,,,,,,,, positive
compelling,,,,,,,,,, positive
compensate,, anticip,,, joy,, surprise, trust,, positive
compensatory,,,,,,,,,, positive
competence,,,,,,,, trust,, positive
competency,,,,,,,, trust,, positive
competent,,,,,,,, trust,, positive
competition,, anticip,,,,,,, negative,
complacency,,,,,,,,,, positive
complain, anger,,,,, sadness,,, negative,
complaint, anger,,,,,,,, negative,
complement,, anticip,,, joy,, surprise, trust,, positive
complementary,,,,,,,,,, positive
completely,,,,,,,,,, positive
completeness,,,,,,,,,, positive
completing,, anticip,,, joy,,,,, positive
completion,, anticip,,, joy,,,,, positive
complexed,,,,,,,,, negative,
complexity,,,,,,,,, negative,
compliance,,,,,,,, trust,, positive
compliant,,,,,,,,,, positive
complicate, anger,,,,,,,, negative,
complicated,,,,,,,,, negative,
complication,,,,,,,,, negative,
complicity,,,,,,,,, negative, positive
compliment,, anticip,,, joy,, surprise, trust,, positive
composed,,,,,,,,,, positive
composer,,,,,,,,,, positive
compost,,, disgust,,,,,, negative,
composure,,,,,,,,,, positive
comprehend,,,,,,,,,, positive
comprehensive,,,,,,,,,, positive
compress, anger,,,,,,,,,
comptroller,,,,,,,, trust,,
compulsion, anger,,,,,,,, negative,
compulsory,,,,,,,,, negative,
comrade,,,,,,,, trust,, positive
conceal,,,,,, sadness,,, negative,
concealed,, anticip,, fear,,, surprise,, negative,
concealment, anger, anticip,, fear,,,,, negative,
conceit,,,,,,,,, negative,
conceited,,,,,,,,, negative,
concentric,,,,,,,,,, positive
concerned,,,, fear,, sadness,,,,
conciliation,,,,, joy,,, trust,, positive
concluding,,,,,,,,,, positive
concord,,,,,,,, trust,, positive
concordance,,,,,,,, trust,, positive
concussion, anger,,,,, sadness,,, negative,
condemn, anger,,,,,,,, negative,
condemnation, anger, anticip, disgust, fear,, sadness,,, negative,
condescending,,,,,,,,, negative,
condescension, anger,, disgust,,, sadness,,, negative,
condolence,,,,,, sadness,,,, positive
condone,,,,,,,,,, positive
conducive,,,,,,,,,, positive
conductivity,,,,,,,,,, positive
confederate,,,,,,,, trust,, positive
confess,,,,,,,, trust, negative, positive
confession,, anticip,, fear,, sadness, surprise,, negative,
confessional,,,, fear,,,, trust,,
confide,,,,,,,, trust,,
confidence,,,, fear, joy,,, trust,, positive
confident,,,,, joy,,, trust,, positive
confidential,,,,,,,, trust,,
confidentially,,,,,,,, trust,,
confine, anger,,, fear,, sadness,,, negative,
confined, anger,, disgust, fear,, sadness,,, negative,
confinement, anger,,, fear,, sadness,,, negative,
confirmation,,,,,,,, trust,,
confirmed,,,,,,,, trust,, positive
confiscate, anger,,,,, sadness,,, negative,
confiscation,,,,,,,,, negative,
conflagration, anger,,, fear,,,,, negative,
conflict, anger,,, fear,, sadness,,, negative,
conflicting,,,,,,,,, negative,
conformance,,,,,,,,,, positive
conformity,,,,,,,, trust,,
confound,,,,,,,,, negative,
confounded,,,,,,,,, negative,
confront, anger,,,,,,,,,
confuse,,,,,,,,, negative,
confusion, anger,,, fear,,,,, negative,
congenial,,,,,,,,,, positive
congestion,,,,,,,,, negative,
conglomerate,,,,,,,, trust,,
congratulatory,,,,, joy,,,,, positive
congregation,,,,,,,, trust,, positive
congress,,, disgust,,,,, trust,,
congressman,,,,,,,, trust,,
congruence,,,,,,,, trust,, positive
conjecture,, anticip,,,,,,,,
conjure,, anticip,,,,, surprise,,,
conjuring,,,,,,,,, negative,
connective,,,,,,,, trust,,
connoisseur,,,,, joy,,, trust,, positive
conquest, anger,,, fear,,,,, negative,
conscience,,,,,,,, trust,, positive
conscientious,,,,,,,, trust,, positive
consciousness,,,,,,,,,, positive
consecration,, anticip,,, joy, sadness,, trust,, positive
consequent,, anticip,,,,,,,,
conservation,, anticip,,,,,, trust,, positive
conserve,,,,,,,,,, positive
considerable,,,,,,,,,, positive
considerate,,,,,,,, trust,, positive
consistency,,,,,,,, trust,, positive
console,,,,,, sadness,,,, positive
consonant,,,,,,,,,, positive
consort,,,,,,,, trust,,
conspiracy,,,, fear,,,,,,
conspirator, anger, anticip, disgust, fear,,,,, negative,
conspire,,,, fear,,,,, negative,
constable,,,,,,,, trust,,
constancy,,,,,,,, trust,, positive
constant,,,,,,,, trust,, positive
constantly,,,,,,,, trust,,
consternation, anger,,, fear,,,,, negative,
constipation,,, disgust,,,,,, negative,
constitute,,,,,,,, trust,,
constitutional,,,,,,,, trust,, positive
constrain,,,, fear,,,,, negative,
constrained,,,,,,,,, negative,
constraint, anger,,, fear,, sadness,,, negative,
construct,,,,,,,,,, positive
consul,,,,,,,, trust,,
consult,,,,,,,, trust,,
consummate,,,,,,,,,, positive
contact,,,,,,,,,, positive
contagion,, anticip, disgust, fear,,,,, negative,
contagious,,, disgust, fear,,,,, negative,
contaminate,,, disgust,,,,,, negative,
contaminated,,, disgust, fear,, sadness,,, negative,
contamination,,, disgust,,,,,, negative,
contemplation,,,,,,,,,, positive
contempt, anger,, disgust, fear,,,,, negative,
contemptible, anger,, disgust,,,,,, negative,
contemptuous, anger,,,,,,,, negative,
content,,,,, joy,,, trust,, positive
contentious, anger,, disgust, fear,,,,, negative,
contingent,, anticip,,,,,,,,
continuation,, anticip,,,,,,,,
continue,, anticip,,,,,, trust,, positive
contour,,,,,,,,,, positive
contraband, anger,, disgust, fear,,,,, negative,
contracted,,,,,,,,, negative,
contradict, anger,,,,,,,, negative,
contradiction,,,,,,,,, negative,
contradictory,,,,,,,,, negative,
contrary,,,,,,,,, negative,
contrasted,,,,,,,,, negative,
contravene,,,,,,,,, negative,
contravention,,,,,,,,, negative,
contribute,,,,,,,,,, positive
contributor,,,,,,,, trust,, positive
controversial, anger,,,,,,,, negative,
controversy,,,,,,,,, negative,
convenience,,,,,,,,,, positive
convenient,,,,,,,,,, positive
convent,,,,,,,, trust,, positive
convention,,,,,,,,,, positive
convergence,, anticip,,,,,,,,
conversant,,,,,,,,,, positive
conversational,,,,,,,,,, positive
convert,,,,,,,,,, positive
conveyancing,,,,,,,, trust,,
convict, anger,, disgust, fear,, sadness,,, negative,
conviction,,,,,,,,, negative,
convince,, anticip,,,,,, trust,, positive
convinced,,,,,,,, trust,,
convincing,,,,,,,, trust,,
cool,,,,,,,,,, positive
coolness,,,,,,,,,, positive
coop, anger,, disgust,,,,,, negative,
cooperate,,,,,,,,,, positive
cooperating,,,,,,,, trust,, positive
cooperation,,,,,,,, trust,, positive
cooperative,,,,,,,, trust,, positive
cop,,,, fear,,,, trust,,
copy,,,,,,,,, negative,
copycat, anger,, disgust,,,,,, negative,
core,,,,,,,,,, positive
coronation,,,,, joy,,, trust,, positive
coroner,,,,,,,,, negative,
corporal,,,,,,,,, negative,
corporation,,,,,,,, trust,, positive
corporeal,,,,,,,,,, positive
corpse,,, disgust,,, sadness,,, negative,
correction,,,,,,,,, negative,
corrective,,,,,,,,,, positive
correctness,,,,,,,, trust,,
correspondence,, anticip,,,,,,,, positive
corroborate,,,,,,,, trust,, positive
corroboration,,,,,,,, trust,,
corrosion,,,,,,,,, negative,
corrosive,,,, fear,,,,, negative,
corrupt,,,,,,,,, negative,
corrupting, anger,, disgust, fear,, sadness,,, negative,
corruption,,, disgust,,,,,, negative,
corse,,,,,, sadness,,,,
cosmopolitan,,,,,,,, trust,, positive
cosy,,,,,,,,,, positive
couch,,,,,, sadness,,,,
cough,,, disgust,,,,,, negative,
council,, anticip,,,,,, trust,, positive
counsel,,,,,,,, trust,, positive
counsellor, anger,,, fear,,,, trust, negative,
counselor,,,,,,,, trust,, positive
count,,,,,,,, trust,, positive
countdown,, anticip,,,,,,,,
countess,,,,,,,,,, positive
countryman,,,,,,,, trust,,
county,,,,,,,, trust,,
coup, anger,,,,,, surprise,,,
courage,,,,,,,,,, positive
courageous,,,, fear,,,,,, positive
courier,,,,,,,, trust,,
coursing,,,,,,,,, negative,
court, anger, anticip,, fear,,,,,,
courteous,,,,,,,,,, positive
courtesy,,,,,,,,,, positive
courtship,, anticip,,, joy,,, trust,, positive
cove,, anticip, disgust, fear, joy,,,,, positive
covenant,,,,,,,, trust,, positive
cover,,,,,,,, trust,,
covet,,,,,,,,, negative,
coward,,, disgust, fear,, sadness,,, negative,
cowardice,,,, fear,,,,, negative,
cowardly,,,, fear,,,,, negative,
coy,,,, fear,,,,,,
coyote,,,, fear,,,,,,
